title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Since You Been Gone,Rainbow,album rock,1997,121,60,73,-10,60,94,198,37,4,63,False
Sorry Seems To Be The Hardest Word,Elton John,glam rock,1976,118,22,37,-13,20,11,229,83,3,62,False
You To Me Are Everything,The Real Thing,brit funk,1999,102,91,64,-8,8,82,210,23,10,62,False
Please Mr. Postman,Carpenters,adult standards,1975,133,55,66,-12,24,96,173,14,3,62,False
Stumblin' In - 2017 Remaster,Suzi Quatro,classic uk pop,1978,129,72,76,-11,35,92,240,13,3,61,False
Lady Writer,Dire Straits,album rock,1979,148,81,63,-9,7,96,225,10,3,61,False
Knowing Me Knowing You,ABBA,europop,1976,107,73,55,-7,24,91,242,4,3,61,False
Ophelia - Remastered 2000,The Band,album rock,1975,92,68,83,-7,33,95,213,68,3,61,False
I Will Survive - Extended Version,Gloria Gaynor,disco,2019,116,85,76,-5,27,59,197,6,5,61,False
Sweet Virginia,The Rolling Stones,album rock,1972,107,74,48,-5,26,56,267,50,4,60,False
The Way We Were,Barbra Streisand,adult standards,1974,138,32,26,-12,13,17,211,89,3,60,False
September Earth, Wind & Fire,disco,2014,126,83,69,-7,25,98,215,17,3,60,False
Doctor Doctor - 2007 Remaster,UFO,album rock,1974,143,80,30,-7,50,56,252,0,5,60,False
Ain't No Mountain High Enough,Diana Ross,adult standards,2017,99,79,39,-5,38,38,215,19,4,60,False
Baby Come Back,Player,soft rock,2007,157,57,65,-11,12,56,214,5,11,59,False
Boulder to Birmingham - Remastered,Emmylou Harris,country rock,1975,126,32,48,-11,10,31,213,78,3,59,False
S.O.S.,ABBA,europop,1975,125,71,42,-6,29,58,202,25,3,59,False
Now That We Found Love,The O'Jays,classic soul,1973,114,65,72,-8,27,96,281,25,4,59,False
Fire on the Mountain,The Marshall Tucker Band,album rock,1975,102,83,51,-6,16,57,236,11,4,58,False
Lost in Music,Sister Sledge,dance pop,1979,114,84,76,-8,10,85,287,5,3,58,False
You Make Me Feel Like Dancing,Leo Sayer,adult standards,1976,96,73,73,-5,11,71,221,8,5,57,False
